step,reward,total_reward,price
0,1000.0,1000.0,84184.7
1,1000.0,2000.0,84128.9
2,1000.0,3000.0,83966.7
3,1000.0,4000.0,84067.1
4,1000.0,5000.0,84092.5
5,1000.0,6000.0,84189.8
6,1000.0,7000.0,84194.5
7,1000.0,8000.0,84130.9
8,1000.0,9000.0,83904.0
9,1000.0,10000.0,83974.3
10,1000.0,11000.0,83910.1
11,1000.0,12000.0,83805.9
12,1000.0,13000.0,83958.1
13,1000.0,14000.0,84029.4
14,1000.0,15000.0,84196.5
15,1000.0,16000.0,84198.6
16,1000.0,17000.0,84070.0
17,1000.0,18000.0,84189.6
18,1000.0,19000.0,84193.1
19,1000.0,20000.0,84230.1
20,1000.0,21000.0,84300.0
21,1000.0,22000.0,84279.2
22,1000.0,23000.0,84414.5
23,1000.0,24000.0,84632.8
24,1000.0,25000.0,84681.3
25,1000.0,26000.0,85030.0
26,1000.0,27000.0,84860.1
27,1000.0,28000.0,85141.5
28,1000.0,29000.0,85211.0
29,1000.0,30000.0,84982.4
30,1000.0,31000.0,84939.9
31,1000.0,32000.0,84971.5
32,1000.0,33000.0,85053.4
33,1000.0,34000.0,85144.0
34,1000.0,35000.0,85329.1
35,1000.0,36000.0,86037.8
36,1000.0,37000.0,85989.5
37,1000.0,38000.0,85529.9
38,1000.0,39000.0,85830.5
39,1000.0,40000.0,86501.1
40,1000.0,41000.0,86806.3
41,1000.0,42000.0,86869.2
42,1000.0,43000.0,87090.7
43,1000.0,44000.0,86843.6
44,1000.0,45000.0,87369.4
45,1000.0,46000.0,87127.2
46,1000.0,47000.0,87740.0
47,1000.0,48000.0,87646.6
48,1000.0,49000.0,87299.9
49,1000.0,50000.0,87657.8
50,1000.0,51000.0,87933.0
51,1000.0,52000.0,88283.9
52,1000.0,53000.0,88007.7
53,1000.0,54000.0,88414.6
54,1000.0,55000.0,88400.0
55,1000.0,56000.0,88165.2
56,1000.0,57000.0,87785.9
57,1000.0,58000.0,88067.2
58,1000.0,59000.0,87419.4
59,1000.0,60000.0,87459.9
60,1000.0,61000.0,87565.3
61,1000.0,62000.0,87053.9
62,1000.0,63000.0,86819.6
63,1000.0,64000.0,86468.5
64,1000.0,65000.0,86497.8
65,1000.0,66000.0,86594.0
66,1000.0,67000.0,86502.0
67,1000.0,68000.0,86408.9
68,1000.0,69000.0,86662.2
69,1000.0,70000.0,87181.6
70,1000.0,71000.0,87084.8
71,1000.0,72000.0,87333.4
72,1000.0,73000.0,87056.9
73,1000.0,74000.0,87571.1
74,1000.0,75000.0,87951.3
75,1000.0,76000.0,87731.2
76,1000.0,77000.0,87765.1
77,1000.0,78000.0,87885.5
78,1000.0,79000.0,87752.7
79,1000.0,80000.0,88053.8
80,1000.0,81000.0,87815.1
81,1000.0,82000.0,87716.2
82,1000.0,83000.0,87404.7
83,1000.0,84000.0,87362.4
84,1000.0,85000.0,87606.1
85,1000.0,86000.0,87795.7
86,1000.0,87000.0,87294.1
87,1000.0,88000.0,87122.2
88,1000.0,89000.0,87285.1
89,1000.0,90000.0,87481.7
90,1000.0,91000.0,87863.0
91,1000.0,92000.0,88103.4
92,1000.0,93000.0,87926.9
93,1000.0,94000.0,87899.8
94,1000.0,95000.0,88176.5
95,1000.0,96000.0,87919.5
96,1000.0,97000.0,87774.1
97,1000.0,98000.0,86794.1
98,1000.0,99000.0,86705.1
99,1000.0,100000.0,86686.5
100,1000.0,101000.0,86443.3
101,1000.0,102000.0,86513.3
102,1000.0,103000.0,86146.2
103,1000.0,104000.0,86518.6
104,1000.0,105000.0,87241.0
105,1000.0,106000.0,87061.0
106,1000.0,107000.0,86787.7
107,1000.0,108000.0,86860.8
108,1000.0,109000.0,87242.2
109,1000.0,110000.0,87340.7
110,1000.0,111000.0,87530.0
111,1000.0,112000.0,87626.7
112,1000.0,113000.0,87480.0
113,1000.0,114000.0,87284.5
114,1000.0,115000.0,87308.3
115,1000.0,116000.0,87349.9
116,1000.0,117000.0,87391.7
117,1000.0,118000.0,87377.8
118,1000.0,119000.0,87148.2
119,1000.0,120000.0,86900.1
120,1000.0,121000.0,86700.0
121,1000.0,122000.0,86339.9
122,1000.0,123000.0,87239.8
123,1000.0,124000.0,86914.3
124,1000.0,125000.0,86776.4
125,1000.0,126000.0,86845.4
126,1000.0,127000.0,87159.4
127,1000.0,128000.0,87019.9
128,1000.0,129000.0,87254.9
129,1000.0,130000.0,87530.6
130,1000.0,131000.0,87310.2
131,1000.0,132000.0,87181.7
132,1000.0,133000.0,87291.1
133,1000.0,134000.0,87191.9
134,1000.0,135000.0,86946.4
135,1000.0,136000.0,86744.5
136,1000.0,137000.0,86243.6
137,1000.0,138000.0,86010.1
138,1000.0,139000.0,85680.1
139,1000.0,140000.0,85158.0
140,1000.0,141000.0,85166.3
141,1000.0,142000.0,85107.9
142,1000.0,143000.0,84908.7
143,1000.0,144000.0,85200.9
144,1000.0,145000.0,84992.0
145,1000.0,146000.0,84953.2
146,999.6,146999.6,84138.3
147,998.0377,147997.62,84006.8
148,995.007,148992.62,83751.7
149,997.6504,149990.28,83974.2
150,996.0561,150986.34,83840.0
151,995.15314,151981.5,83764.0
152,995.2007,152976.7,83768.0
153,998.16724,153974.88,84017.7
154,1003.18317,154978.06,84439.9
155,1002.4121,155980.47,84375.0
156,1002.1115,156982.58,84349.7
157,1000.6277,157983.2,84224.8
158,995.61053,158978.81,83802.5
159,999.38257,159978.19,84120.0
160,998.3894,160976.58,84036.4
161,997.4829,161974.06,83960.1
162,995.0035,162969.06,83751.4
163,994.26807,163963.33,83689.5
164,996.59424,164959.92,83885.3
165,992.08325,165952.0,83505.6
166,984.7708,166936.77,82890.1
167,977.10675,167913.88,82245.0
168,979.1098,168892.98,82413.6
169,983.7242,169876.7,82802.0
170,979.7442,170856.45,82467.0
171,978.60016,171835.05,82370.7
172,975.9532,172811.0,82147.9
173,977.67584,173788.67,82292.9
174,977.8778,174766.55,82309.9
175,982.8474,175749.39,82728.2
176,979.76917,176729.16,82469.1
177,979.9224,177709.08,82482.0
178,978.4754,178687.55,82360.2
179,981.37067,179668.92,82603.9
180,983.28937,180652.22,82765.4
181,984.77795,181637.0,82890.7
182,989.28424,182626.28,83270.0
183,986.57666,183612.86,83042.1
184,986.901,184599.77,83069.4
185,985.1415,185584.9,82921.3
186,987.7956,186572.7,83144.7
187,986.46735,187559.17,83032.9
188,990.11584,188549.28,83340.0
189,991.4702,189540.75,83454.0
190,987.07446,190527.83,83084.0
191,986.94495,191514.77,83073.1
192,986.34735,192501.11,83022.8
193,981.8779,193482.98,82646.6
194,983.2727,194466.25,82764.0
195,982.42804,195448.67,82692.9
196,977.0711,196425.75,82242.0
197,978.65594,197404.4,82375.4
198,982.117,198386.52,82699.8
199,982.117,199368.62,82673.5
200,982.117,200350.73,82512.1
201,982.117,201332.84,82190.2
202,981.7241,202314.56,82396.7
203,981.1427,203295.7,82347.9
204,972.2151,204267.92,81598.6
205,975.9861,205243.9,81915.1
206,975.63696,206219.55,81885.8
207,970.88184,207190.42,81486.7
208,974.67786,208165.1,81805.3
209,978.5465,209143.64,82130.0
210,977.1906,210120.83,82016.2
211,975.7978,211096.62,81899.3
212,975.4749,212072.1,81872.2
213,968.9564,213041.05,81325.1
